character,pinyin,english,hsk
使劲儿,shǐ jìn r,to exert all one's strength,5
试卷,shì juàn,examination paper,5
时刻,shí kè,moment,5
时髦,shí máo,fashionable,5
失眠,shī mián,"insomnia, be unable to sleep",5
时期,shí qī,"period, phase",5
失去,shī qù,to lose (sth.),5
时尚,shí shàng,fashion,5
事实,shì shí,fact,5
石头,shí tou,stone,5
食物,shí wù,food,5
事物,shì wù,"thing, object",5
实习,shí xí,"practice, internship, to practice",5
实现,shí xiàn,"to realize, to achieve, to bring about",5
事先,shì xiān,"in advance, beforehand",5
实行,shí xíng,"to put into practice, to carry out",5
实验,shí yàn,"experiment, to experiment",5
失业,shī yè,"unemployment, to lose one's job, unemployed",5
实用,shí yòng,"practical, pragmatisch, applied",5
始终,shǐ zhōng,from beginning to end,5
手工,shǒu gōng,"hondwork, manual",5
收获,shōu huò,"result, gain, harvest, to harvest",5
收据,shōu jù,receipt,5
寿命,shòu mìng,"life span, life expectancy",5
受伤,shòu shāng,to get injured,5
手术,shǒu shù,"operation, surgery",5
手套,shǒu tào,gloves,5
手续,shǒu xù,"procedure, formality",5
手指,shǒu zhǐ,finger,5
鼠标,shǔ biāo,mouse (IT),5
蔬菜,shū cài,vegetables,5
书架,shū jià,bookshelf,5
数据,shù jù,data,5
熟练,shú liàn,"skilled, practiced, proficient",5
数码,shù mǎ,"number, figure, digital",5
输入,shū rù,"to import, to input",5
舒适,shū shì,"comfortable, cozy",5
属于,shǔ yú,"to belong to, to be part of",5
梳子,shū zi,comb,5
甩,shuǎi,"to throw, to swing, to move back and forth",5
摔,shuāi,"to fall, to throw down",5
双方,shuāng fāng,"both sides, bilateral",5
税,shuì,"tax, duty",5
说不定,shuō bu dìng,"maybe, cannot say for sure",5
说服,shuō fú,"to persuade, to convince",5
撕,sī,to tear up,5
丝绸,sī chóu,"silk, silk cloth",5
丝毫,sī háo,"the slightes amount or degree, very little",5
似乎,sì hū,"apparently, it seems as if, seemingly",5
思考,sī kǎo,"to ponder over, to think over, to reflect upon",5
寺庙,sì miào,"temple, monastery",5
私人,sī rén,"private (person), private",5
思想,sī xiǎng,"idea, thought, thinking",5
宿舍,sù shè,dormitory,5
碎,suì,"to break into pieces, broken (into pieces)",5
随时,suí shí,"at all time, at any time",5
损失,sǔn shī,"loss, damage, to lose, to damage",5
所,suǒ,"actually Measure, for houses, buildings, institutions",5
锁,suǒ,"lock, to lock up",5
缩短,suō duǎn,"to curtail, to cut down",5
所谓,suǒ wèi,so-called,5
缩小,suō xiǎo,"to reduce, to shrink, to lessen",5
塔,tǎ,tower,5
太极拳,tài jí quán,"shadowboxing, Taiji",5
台阶,tái jiē,"stairs, step",5
太太,tài tai,"wife, Madame, Mrs.",5
谈判,tán pàn,"negotiation, talks, to negotiate",5
坦率,tǎn shuài,"frank, open, candid",5
烫,tàng,"to burn, to iron, hot (food, etc.)",5
桃,táo,peach,5
逃,táo,"to escape, to run away, to flee",5
套,tào,"cover, to cover with Measure, for sets of things",5
逃避,táo bì,"to escape, to avoid, to shirk",5
特殊,tè shū,"special, unusual",5
特意,tè yì,"specially, expressly",5
特征,tè zhēng,"distinctive feature, characteristic",5
疼爱,téng ài,to love dearly,5
提,tí,"to carry, to raise",5
提倡,tí chàng,"to promote, to advocate",5
提纲,tí gāng,"key points, outline",5
体会,tǐ huì,"to know (through experience), to experience",5
体积,tǐ jī,volume,5
题目,tí mù,"topic, title",5
体贴,tǐ tiē,considerate,5
提问,tí wèn,to raise a question,5
体现,tǐ xiàn,"to embody, to incarnate",5
体验,tǐ yàn,to experience (for oneself),5
天空,tiān kōng,sky,5
田野,tián yě,"field, open land",5
天真,tiān zhēn,"naive, innocent",5
调皮,tiáo pí,"naughty, tricky",5
挑战,tiǎo zhàn,challange,5
调整,tiáo zhěng,"adjustment, to adjust, to revise",5
铜,tóng,copper,5
通常,tōng cháng,"regular, usually, normally",5
痛苦,tòng kǔ,"pain, suffering, painful",5
痛快,tòng kuài,"delighted, very happy",5
同时,tóng shí,"at the same time, simultaneously",5
通讯,tōng xùn,"communication, news report",5
统一,tǒng yī,"to unify, to unite, to integrate",5
统治,tǒng zhì,"regime, government, to rule, to govern",5
透明,tòu míng,transparent,5
投资,tóu zī,"investment, to invest",5
吐,tù,to vomit,5
突出,tū chū,outstanding,5
土地,tǔ dì,"land, soil, territory",5
土豆,tǔ dòu,potato,5
兔子,tù zi,rabbit,5
团,tuán,"group, regiment Measure, for ball-like things",5
退,tuì,"to return, to decline, to withdraw",5
退步,tuì bù,"regression, to regress, to fall behind, to go backward",5
推辞,tuī cí,"to decline, to turn down",5
推广,tuī guǎng,"to spread, to popularize",5
推荐,tuī jiàn,"recommendation, to recommend",5
退休,tuì xiū,"retirement, to retire",5
歪,wāi,"crooked, devious",5
外交,wài jiāo,"diplomacy, foreign affairs",5
弯,wān,"a curve, to bend, to curve, bent, curved",5
玩具,wán jù,toy,5
完美,wán měi,perfect,5
完善,wán shàn,"to improve, to make perfect, perfect",5
万一,wàn yī,"contingency, in case",5
完整,wán zhěng,"complete, intact",5
往返,wǎng fǎn,"back and forth, to and from",5
王子,wáng zǐ,prince,5
胃,wèi,stomach,5
尾巴,wěi ba,tail,5
未必,wèi bì,not necessarily,5
伟大,wěi dà,"great, mighty",5
违反,wéi fǎn,to violate (law),5
危害,wēi hài,"endangerment, to endanger, to harm",5
维护,wéi hù,"to defend, to safeguard, to maintain",5
围巾,wéi jīn,scarf,5
未来,wèi lái,future,5
委屈,wěi qu,to feel wronged,5
围绕,wéi rào,"to revolve around, to surround",5
卫生间,wèi shēng jiān,"bathroom, WC",5
委托,wěi tuō,"to entrust, to commission, to consign",5
微笑,wēi xiào,"smile, to smile",5
威胁,wēi xié,"threat, menace, to threaten, to menace",5
唯一,wéi yī,"only, sole",5
位置,wèi zhì,"position, place",5
闻,wén,"to hear, to smell",5
吻,wěn,"kiss, to kiss",5
稳定,wěn dìng,"stability, to stabalize, steady, stable",5
问候,wèn hòu,to send a greeting,5
文件,wén jiàn,"document, file",5
文具,wén jù,"stationery, writing materials",5
文明,wén míng,"civilization, culture, civilized",5
温暖,wēn nuǎn,warm,5
温柔,wēn róu,"gentle, soft, tender",5
文学,wén xué,literature,5
卧室,wò shì,bedroom,5
雾,wù,fog,5
物理,wù lǐ,physics,5
无奈,wú nài,to have no choice,5
武器,wǔ qì,"weapon, arms",5
无数,wú shù,"countless, innumerable",5
武术,wǔ shù,martial arts,5
物质,wù zhì,"matter, substance, material",5
屋子,wū zi,"room, house",5
系,xì,"system, department",5
细节,xì jié,"detail, particulars",5
戏剧,xì jù,"drama, play, theater",5
吸收,xī shōu,"to absorb, to soak up, to assimilate",5
系统,xì tǒng,system,5
吓,xià,"to frighten, to scare",5
瞎,xiā,"blind, groundlessly, foolishly, aimlessly",5
下载,xià zài,to download,5
县,xiàn,county,5
显得,xiǎn de,"to seem, to look, to appear",5
现金,xiàn jīn,cash,5
显然,xiǎn rán,"clear, evident",5
现实,xiàn shí,"reality, actuality, real, actual",5
显示,xiǎn shì,"Display, to show, to display, to demonstrate",5
现象,xiàn xiàng,"appearance, phenomenon",5
鲜艳,xiān yàn,"bright-coloured, colourful",5
项,xiàng,"neck, point, item Measure, for tasks, events, etc.",5
相处,xiāng chǔ,to get along with each other,5
相当,xiāng dāng,"be quivalent to, apropriate, quite, rather, fairly",5
相对,xiāng duì,"to face each other, relatively, comperatively",5
相关,xiāng guān,"correlation, dependence, to be interrelated",5
项链,xiàng liàn,necklace,5
项目,xiàng mù,"item, project, sports event",5
想念,xiǎng niàn,"to miss, to remember with longing",5
橡皮,xiàng pí,"rubber, eraser",5
象棋,xiàng qí,Chinese chess,5
享受,xiǎng shòu,"enjoyment, pleasure, to enjoy",5
相似,xiāng sì,"to resemble, to be similar to",5
想象,xiǎng xiàng,"imagination, to imagine, to visualize",5
象征,xiàng zhēng,"symbol, to symbolize, to stand for",5
小吃,xiǎo chī,"snack, refreshments",5
消费,xiāo fèi,"consumption, to consume",5
消化,xiāo huà,"digestion, to digest",5
小伙子,xiǎo huǒ zi,young fellow,5
效率,xiào lǜ,efficiency,5
小麦,xiǎo mài,wheat,5
消灭,xiāo miè,"annihilation, to eliminate, to perish",5
小气,xiǎo qi,"stingy, petty, miserly",5
消失,xiāo shī,"to disappear, to fade away",5
销售,xiāo shòu,"sales, to sell",5
孝顺,xiào shun,to be obedient to one's parents,5
小偷,xiǎo tōu,thief,5
斜,xié,"inclined, slanting, oblique",5
歇,xiē,to rest,5
协调,xié tiáo,"to coordinate, to harmonize",5
信封,xìn fēng,envelope,5
信号,xìn hào,signal,5
心理,xīn lǐ,"psychology, mentality, psychological, menatl",5
欣赏,xīn shǎng,"to enjoy, to appreciate",5
信息,xìn xī,"information, news",5
心脏,xīn zàng,heart,5
形成,xíng chéng,"to form, to take shape",5
行动,xíng dòng,"action, operation, to move, to act",5
幸亏,xìng kuī,"furtunately, luckily",5
行人,xíng rén,pedestrian,5
形容,xíng róng,"description, to describe",5
形势,xíng shì,"situation, circumstances, terrain",5
形式,xíng shì,"form, shape",5
行为,xíng wéi,"action, conduct, behaviour, activity",5
形象,xíng xiàng,"image, appearance, figure",5
幸运,xìng yùn,"luck, fortune, lucky, fortunate",5
性质,xìng zhì,"nature, character",5
形状,xíng zhuàng,"form, shape",5
胸,xiōng,chest,5
兄弟,xiōng dì,brothers,5
雄伟,xióng wěi,"grand, magnificent",5
修改,xiū gǎi,"modification, to modify, to amend, to revise",5
休闲,xiū xián,leisure,5
叙述,xù shù,"narration, to tell, to relate",5
虚心,xū xīn,modest,5
宣布,xuān bù,"to declare, to announce",5
宣传,xuān chuán,"propaganda, to propagte, to disseminate",5
选举,xuǎn jǔ,"election, to elect",5
学期,xué qī,"term, semester",5
学术,xué shù,"learning, science",5
学问,xué wen,knowledge,5
训练,xùn liàn,"training, to train, to drill",5
迅速,xùn sù,"rapid, speedy, quick",5
询问,xún wèn,to inquire,5
寻找,xún zhǎo,"to seek, to look for",5
延长,yán cháng,"to prolong, to extend",5
宴会,yàn huì,"banquet, feast",5
严肃,yán sù,"solemn, serious",5
痒,yǎng,"to itch, to tickle",5
样式,yàng shì,"type, style, pattern",5
阳台,yáng tái,balcony,5
摇,yáo,"to shake, to sway",5
咬,yǎo,to bite,5
腰,yāo,"waist, lower back",5
要不,yào bù,otherwise,5
要是,yào shi,"if, in case",5
夜,yè,night,5
液体,yè tǐ,liquid,5
业务,yè wù,"business, professional work",5
业余,yè yú,"spare time, amateur",5
乙,yǐ,second(ly),5
一辈子,yí bèi zi,a lifetime,5
一旦,yí dàn,"in one day, in case, if, once",5
移动,yí dòng,"movement, to move, to shift, mobile, portable",5
遗憾,yí hàn,"to regret, regrettable",5
以及,yǐ jí,as well as,5
以来,yǐ lái,since,5
一路平安,yí lù píng ān,have a save trip!,5
议论,yì lùn,"discussion, to discuss, to comment on",5
移民,yí mín,"immigrant, to immigrate, to migrate",5
依然,yī rán,"still, as before",5
意外,yì wài,"accident, unexpected, accidental",5
疑问,yí wèn,"question, doubt",5
义务,yì wù,"duty, obligation, voluntary",5
意义,yì yì,"meaning, sense, significance",5
一致,yí zhì,"agreement, identical, unanimous (views, etc.)",5
银,yín,"silver, silver (colour)",5
因而,yīn ér,"thus, as a result",5
因素,yīn sù,"element, factor",5
硬币,yìng bì,coin,5
应付,yìng fu,"to deal with, to cope with",5
硬件,yìng jiàn,hardware,5
迎接,yíng jiē,"to greet, to welcome, to meet",5
英俊,yīng jùn,handsome and smart,5
应聘,yìng pìn,to apply for a job,5
英雄,yīng xióng,hero,5
营养,yíng yǎng,"nutrition, nourishment",5
营业,yíng yè,"to do business, to trade",5
应用,yìng yòng,"application, to apply, to use",5
影子,yǐng zi,shadow,5
拥抱,yōng bào,"to embrace, to hug",5
拥挤,yōng jǐ,"to squeeze, to press, crowded",5
勇气,yǒng qì,courage,5
用途,yòng tú,"application, use, purpos",5
幼儿园,yòu ér yuán,"kintergarten, nursery school",5
优惠,yōu huì,"preferential, favourable",5
悠久,yōu jiǔ,"long, longstanding",5
邮局,yóu jú,post office,5
游览,yóu lǎn,"to visit, to go sightseeing",5
有利,yǒu lì,"advantageous, beneficial",5
优美,yōu měi,"fine, graceful",5
优势,yōu shì,"superiority, dominance, advantage",5
犹豫,yóu yù,to hesitate,5
油炸,yóu zhá,to deep fry,5
预报,yù bào,forecast,5
预订,yù dìng,"booking, to book, to subscribe for",5
预防,yù fáng,"prevention, prophylaxis, to prevent",5
娱乐,yú lè,"amusement, entertainment, to amuse, to entertain",5
玉米,yù mǐ,"corn, maize",5
与其,yǔ qí,rather than,5
语气,yǔ qì,"tone, manner of speaking",5
宇宙,yǔ zhòu,"universe, cosmos",5
元旦,Yuán dàn,New Year's Day,5
缘故,yuán gù,"reason, cause",5
原料,yuán liào,raw material,5
愿望,yuàn wàng,"desire, wish",5
原则,yuán zé,principle,5
晕,yūn,"to pass out, to faint, dizzy, faint, confused",5
运气,yùn qi,"luck, fate",5
运输,yùn shū,"transport, to transport",5
运用,yùn yòng,"to use, to utilize",5
灾害,zāi hài,"calamity, disaster",5
再三,zài sān,again and again,5
赞成,zàn chéng,"to approve of, to agree with",5
赞美,zàn měi,"applause, praise, to praise, to admire",5
造成,zào chéng,"to bring about, to create, to cause",5
糟糕,zāo gāo,"terrible, bad",5
则,zé,"norm, standard, to follow (rule, etc.), then Measure, for written items",5
责备,zé bèi,"to blame, to criticize",5
摘,zhāi,"to pick, to pluck, to take off (glasses, etc.)",5
展开,zhǎn kāi,"to unfold, to carry out, to spread out",5
展览,zhǎn lǎn,"exhibition, to exhibit",5
粘贴,zhān tiē,"to stick, to affix, to paste",5
占线,zhàn xiàn,busy (phone),5
战争,zhàn zhēng,war,5
涨,zhǎng,"to rise, to go up",5
账户,zhàng hù,bank account,5
掌握,zhǎng wò,"to grasp, to master, to control",5
照常,zhào cháng,as usual,5
招待,zhāo dài,"reception, to entertain (guests), to serve, to receive",5
召开,zhào kāi,"to convene, to convoke, to call together",5
着凉,zháo liáng,to catch a cold,5
哲学,zhé xué,philosophy,5
阵,zhèn,"disposition of troops, for short periods or events",5
振动,zhèn dòng,"vibration, to vibrate",5
诊断,zhěn duàn,"diagnosis, to diagnose",5
针对,zhēn duì,"to be aimed at, to be directed against",5
真理,zhēn lǐ,truth,5
真实,zhēn shí,"real, true",5
枕头,zhěn tou,pillow,5
珍惜,zhēn xī,"to value, to cherish",5
正,zhèng,"upright, honest, just, upright",5
睁,zhēng,to open (the eyes),5
政策,zhèng cè,policy,5
政府,zhèng fǔ,government,5
整个,zhěng gè,"whole, entire",5
证件,zhèng jiàn,certificate,5
证据,zhèng jù,"evidence, proof",5
争论,zhēng lùn,"argument, debate, to argue, to debate",5
挣钱,zhèng qián,to make money,5
征求,zhēng qiú,"to solicit, to seek, to ask for",5
争取,zhēng qǔ,"to strive for, to fight for",5
整体,zhěng tǐ,whole entity,5
政治,zhèng zhì,politics,5
直,zhí,"to straighten, straight, direct",5
支,zhī,"branch, division, to support Measure, for stick-like objects",5
指导,zhǐ dǎo,"guidance, to guide, to direct",5
制定,zhì dìng,"to formulate, to work out, to draw up",5
制度,zhì dù,system,5
智慧,zhì huì,"wisdom, intelligence, knowledge",5
指挥,zhǐ huī,"conductor, to conduct, to command, to direct",5
至今,zhì jīn,"until now, until today",5
治疗,zhì liáo,"medical treatment, to treat, to cure",5
支票,zhī piào,check (bank),5
执行,zhí xíng,"to carry out, to execute",5
秩序,zhì xù,"order, orderly state",5
至于,zhì yú,"to go so far as to, with regard to",5
志愿者,zhì yuàn zhě,volunteer,5
执照,zhí zhào,license,5
制作,zhì zuò,"to make, to manufacture, to produce",5
重,zhòng,"heavy, serious, heavily",5
钟,zhōng,"clock, bell Measure, o'clock",5
中介,zhōng jiè,"agency, agent",5
重量,zhòng liàng,weight,5
中心,zhōng xīn,center,5
中旬,zhōng xún,middle third of a month,5
周到,zhōu dao,"thoughtful, considerate",5
煮,zhǔ,"to cook, to boil",5
逐步,zhú bù,step by step,5
注册,zhù cè,to register,5
主持,zhǔ chí,"to direct, to manage, to preside over",5
祝福,zhù fú,"to bless, to wish well",5
嘱咐,zhǔ fù,"to exhort, to enjoin, to tell",5
主观,zhǔ guān,subjectiv,5
主人,zhǔ rén,"host, master",5
主席,zhǔ xí,chairman,5
主张,zhǔ zhāng,"viewpoint, stand, to advocate, to stand for",5
竹子,zhú zi,bamboo,5
抓紧,zhuā jǐn,"to grasp firmly, to pay special attention to, to seize",5
转变,zhuǎn biàn,"change, to change, to transform",5
转告,zhuǎn gào,"to pass on (a message, etc.), to transmit",5
专家,zhuān jiā,"expert, specialist",5
专心,zhuān xīn,"concentration, to concentrate, concentrated, attentive",5
装,zhuāng,"dress, clothing, costume, to pretend, to install, to fix, to load, to pack",5
状况,zhuàng kuàng,"condition, state, situation",5
装饰,zhuāng shì,"decoration, to decorate",5
状态,zhuàng tài,"state, condition",5
追求,zhuī qiú,"to pursue, to seek after",5
紫,zǐ,purple,5
自从,zì cóng,"ever since, since",5
自动,zì dòng,automatic,5
资格,zī gé,qualifications,5
自豪,zì háo,proud,5
资金,zī jīn,"funds, capital",5
自觉,zì jué,"aware, conscious, on one's own initiative",5
资料,zī liào,"material, data, resources, profile (IT)",5
字幕,zì mù,"caption, subtitle",5
